index,date,competitionId,roundTypeId,attempt,value
492,2016-01-09,Cubelonia2016,2,3,8.47
493,2016-01-09,Cubelonia2016,2,4,7.8100000000000005
494,2016-01-09,Cubelonia2016,2,5,9.290000000000001
495,2016-01-09,Cubelonia2016,f,1,8.18
496,2016-01-09,Cubelonia2016,f,2,7.16
497,2016-01-09,Cubelonia2016,f,3,6.91
498,2016-01-09,Cubelonia2016,f,4,6.84
499,2016-01-09,Cubelonia2016,f,5,14.56
500,2016-01-30,FrankfurtCubeDays2016,1,1,10.08
501,2016-01-30,FrankfurtCubeDays2016,1,2,6.88
502,2016-01-30,FrankfurtCubeDays2016,1,3,9.39
503,2016-01-30,FrankfurtCubeDays2016,1,4,7.88
504,2016-01-30,FrankfurtCubeDays2016,1,5,7.4
505,2016-01-30,FrankfurtCubeDays2016,2,1,7.29
506,2016-01-30,FrankfurtCubeDays2016,2,2,7.8100000000000005
507,2016-01-30,FrankfurtCubeDays2016,2,3,8.46
508,2016-01-30,FrankfurtCubeDays2016,2,4,7.24
509,2016-01-30,FrankfurtCubeDays2016,2,5,11.02
510,2016-01-30,FrankfurtCubeDays2016,f,1,7.38
511,2016-01-30,FrankfurtCubeDays2016,f,2,6.71
512,2016-01-30,FrankfurtCubeDays2016,f,3,7.47
513,2016-01-30,FrankfurtCubeDays2016,f,4,8.05
